题号,A,B,C,D,E,答案,声音
65,肺动脉瓣收缩早期喷射音,二尖瓣狭窄,二尖瓣关闭不全,主动脉瓣关闭不全,主动脉瓣狭窄,5,90A.wav
66,房间隔缺损,主动脉瓣狭窄,二尖瓣关闭不全,二尖瓣狭窄,生理性杂音,2,90A.wav
67,主动脉瓣狭窄,主动脉瓣关闭不全,主动脉瓣狭窄并关闭不全,二尖瓣狭窄,二尖瓣关闭不全,1,90A.wav
68,室间隔缺损,肺动脉瓣收缩早期喷射音,二尖瓣关闭不全,主动脉瓣狭窄,主动脉瓣关闭不全,4,90A.wav
69,生理性杂音,主动脉瓣狭窄并关闭不全,二尖瓣狭窄,二尖瓣关闭不全,主动脉瓣狭窄,5,90A.wav
70,房间隔缺损,室间隔缺损,动脉导管未闭,主动脉瓣关闭不全,主动脉瓣狭窄,5,90A.wav
71,生理性杂音,二尖瓣狭窄,二尖瓣关闭不全,主动脉瓣狭窄,主动脉瓣关闭不全,5,95E.wav
72,主动脉瓣狭窄,主动脉瓣关闭不全,二尖瓣关闭不全,二尖瓣狭窄伴关闭不全,二尖瓣狭窄,2,95E.wav
73,二尖瓣关闭不全,房间隔缺损,二尖瓣狭窄,主动脉瓣关闭不全,主动脉瓣狭窄,4,95E.wav
74,肺动脉瓣收缩早期喷射音,主动脉瓣狭窄,二尖瓣关闭不全,主动脉瓣关闭不全,二尖瓣狭窄伴关闭不全,4,95E.wav
75,动脉导管未闭,房间隔缺损,主动脉瓣关闭不全,主动脉瓣狭窄,二尖瓣关闭不全,3,95E.wav
76,主动脉瓣关闭不全,生理性杂音,肺动脉瓣收缩早期喷射音,主动脉瓣狭窄,二尖瓣狭窄,1,95E.wav
77,二尖瓣狭窄,二尖瓣关闭不全,二尖瓣狭窄伴关闭不全,主动脉瓣狭窄,主动脉瓣狭窄并关闭不全,5,101E.wav
78,二尖瓣狭窄,室间隔缺损,房间隔缺损,主动脉瓣狭窄并关闭不全,二尖瓣关闭不全,4,101E.wav
79,主动脉瓣狭窄并关闭不全,二尖瓣关闭不全,主动脉瓣狭窄,二尖瓣狭窄,室间隔缺损,1,101E.wav
80,动脉导管未闭,主动脉瓣关闭不全,主动脉瓣狭窄,房间隔缺损,室间隔缺损,4,109P.wav
81,室间隔缺损,房间隔缺损,动脉导管未闭,主动脉瓣关闭不全,二尖瓣关闭不全,2,109P.wav
82,室间隔缺损,二尖瓣关闭不全,主动脉瓣狭窄,房间隔缺损,动脉导管未闭,4,109P.wav
83,二尖瓣狭窄,二尖瓣关闭不全,主动脉瓣关闭不全,房间隔缺损,动脉导管未闭,4,109P.wav
84,动脉导管未闭,房间隔缺损,室间隔缺损,二尖瓣关闭不全,主动脉瓣狭窄,3,110E.wav
85,生理性杂音,主动脉瓣狭窄,二尖瓣关闭不全,房间隔缺损,室间隔缺损,5,110E.wav
86,动脉导管未闭,房间隔缺损,室间隔缺损,二尖瓣狭窄,二尖瓣关闭不全,3,110E.wav
87,房间隔缺损,动脉导管未闭,二尖瓣关闭不全,室间隔缺损,主动脉瓣狭窄,4,110E.wav
88,室间隔缺损,动脉导管未闭,房间隔缺损,主动脉瓣狭窄并关闭不全,收缩期杂音伴固定性第二心音分裂,2,113P.wav
89,房间隔缺损,室间隔缺损,动脉导管未闭,主动脉瓣关闭不全,肺动脉瓣收缩早期喷射音,3,113P.wav
90,动脉导管未闭,室间隔缺损,房间隔缺损,肺动脉瓣收缩早期喷射音,主动脉瓣收缩早期喷射音,1,113P.wav
91,频发性室性期前收缩,二联律,正常心音,生理性第三心音,心房纤颤,2,123MT.wav
92,窦性心动过缓,陈发性室上性心动过速,窦性心律不齐,二联律,心房纤颤,4,123MT.wav
93,频发性室性期前收缩,窦性心动过缓,二联律,正常心音,生理性第三心音,3,123MT.wav
94,二联律,频发性室性期前收缩,窦性心动过速,心房纤颤,生理性杂音,3,118MT.wav
95,窦性心动过缓,二联律,心房纤颤,窦性心动过速,陈发性室上性心动过速,4,118MT.wav
96,陈发性室上性心动过速,窦性心动过缓,心房纤颤,窦性心动过速,二尖瓣关闭不全,4,118MT.wav
97,生理性杂音,二联律,频发性室性期前收缩,心房纤颤,窦性心动过缓,3,122MT.wav
98,陈发性室上性心动过速,频发性室性期前收缩,二联律,二尖瓣狭窄,窦性心动过缓,2,122MT.wav
99,频发性室性期前收缩,二联律,窦性心动过速,心房纤颤,陈发性室上性心动过速,1,122MT.wav
100,心房纤颤,正常心音,二联律,陈发性室上性心动过速,窦性心律不齐,1,125MT.wav
101,心房纤颤,二联律,频发性室性期前收缩,陈发性室上性心动过速,窦性心动过缓,1,125MT.wav
102,正常心音,生理性第三心音,心房纤颤,二联律,陈发性室上性心动过速,3,125MT.wav
